Glimpse of Review,Review
Review from Technology Gyan: Almost everything we expect from a TV,"This 55"" 4K Nokia TV at this price point comes with almost everything we expect from a TV in today's time. Here are a few Pros and Cons, according to what I experienced:-Pros: 1) Great quality display (Thin Bezels): The presence of almost no to very thin bezels changes the whole experience of viewing. I played high resolution wildlife videos on YouTube and was amazed to see the details and colours.2) Sound by JBL (front firing speakers): I could experience clear vocal tones in dialogues a...READ MORE"
Brilliant,I must say it is best decision to by Nokia TV. The device is feature loaded. Dolby vision is astonishing. Amazing picture quality with Dolby Vision and Intelligent dimming. JBL speakers doing their job perfectly. It's a steal deal guys. Google assistant over remote is coming in handy. Thanks Flipkart and Nokia for a quality productThanks to Arul from Jeeves for seamless installationREAD MORE
Best in the market!,"Flipcart delivered the Product in less than 24 hrs... Really amazed by their quick delivery... Now the next surprise comes with installation.. Received message that installation will be in next 2 days, however got a call on the same day and installation was done with perfection. Now if we talk about TV its not a sleek TV if I compare with my existing LG led. Picture quality is OK. Sound is good with JBL speakers. So overall value of money in this price range. Detailed TV reviews will post lat...READ MORE"
Pretty good,"Pros1) Picture Quality is good, micro dimming works well. 2) JBL Bass Reflex sound is better compare other TV in same range. 3) 4k up-scaling is too good. You need minimum 720p videos to get better experience. FHD video is super. Some channels such as HBO HD in 480p works well without noise. 4) Dts trusurround works well. You can really feel front surround. 5) Built quality is good. 6) Android run smoothly. 7) Remote control is good and has all usable keys. Cons:1) There is screen bl...READ MORE"
Terrific purchase,"Value for money ....1) This tv has Everything YouTube , Hotstar , Amazon prime ,Netflix ,Spotify ,Voot  , Zee5, Sonyliv  pre installed also if u still want other apps Their is Android App store for it . 2) Picture quality is amazing , as it is 55 inch I suggest u play HD channels only otherwise picture will burst 4K video , I dont have any 4K recharge but I played from YouTube and the clearity and sound was amazing .3) Haven’t played any games till now , but I think 2.25 Ram wont be a...READ MORE"
Nice product! ,"We use 7500F series 55 inch tv Nokia is bettre than this.Mind blowing product Smooth on Eyes no strain. ADS IPS panel provides very good contrast ,color and brightness. Studio like sound Best in India !Smooth OS good on update. No bleeding it's internal reflection changes with viewing angles.Highlighting feature is Eys strain free ADS IPS disply panel  by BOE good for children far better than renowned brands. JBL sound is awesome Nokia is king in this segment with very low price.Need impr...READ MORE"
Highly recommended,"Great TV.  review after second day of installation. 1) sound: Great sound of JBL Dolby speaker(in build soundbar). no need to connect external Bluetooth speakers or home theater.2) picture quality: Great picture quality and it's competitor to Sony and Samsung. Nice upscaling of picture. Need to use HD set top box for better clarity. YouTube supports Dolby Visio HDR so looking great.3) connectivity: Bluetooth, WiFi and screen mirroring is very nice. prime video running very nice.4) Value f...READ MORE"
Simply awesome,it's excellent tv worth for every penny i think this is best tv in market other smart TVs Pure design excellent sound quality by JBL so there is no need home theater picture quality is highly good I enjoying lot viewing this Nokia TvREAD MORE
Simply awesome,they are providing amazon prime support with an update 😍😍😍...tv is awesome and audio quality is fabulous and 4k display makes it way better than other smart tv in this price segment.... I love Nokia products bcoz of its build quality..... and more unique featuresREAD MORE
Excellent,Ifff u r planing for premium tv under 40k nokia baap of all budget tv Picture as always like nokia mobile awsmBuilt quality looks like nokia lumia glossySound quality under 60-70k premium tv jbl baap of allAnd its not only value for money also make me happy love u nokia u always gv us satisfactionI think go wid this tv best tv till 2019 under 42-40k only one drawback is we can't say anything abt durability bcoz first tym nokia launch tv but i hv taken 3yr warranty soo i m hapiee wid that...READ MORE
Horrible,Gets white patches on top right of the screenCan’t play Airtel extreme and Jio tv Sound is amazing 10/10 on that Image dimming is amazing It gives a different feel when being looked Usability is not as seamless as it should be It lags while clicking at certain windowsREAD MORE
Fabulous!,"Value for Money Product.Pros:-1) Good Sound Quality by JBL.2) Crystal Clear Picture Quality.3) 24W Sound Bar with Good Bass .4) Thin Bazzel.5) Android 9.06) Handy Remote.7) Almost all apps like Netflix, Prime, Sony LIV, Hotstar, ES File Explorer supported.8) Can install any app from explorer.9) Good Picture Coloration, Can be seen in attached images below.Cons:-1) Slight screen bleeding issue.2) Sometime Bluetooth connectivity issue occurs.READ MORE"
Unsatisfactory,"No doubt this is one of the best product you will get in this range.Picture and sound qaulity is really awesome. But couple of things i have noticed with this product which they can fix it through regular updates like It's not detecting the 5GHZ wifi network and little bit slowness is there while booting . There is some gap between the panel and body at the both sides corner above speaker but as per the installation guy ,this is how nokia and other brands are manufacturing and it's normal but...READ MORE"
Mind-blowing purchase,worth for money great good experience best of luck nokiaREAD MORE
Must buy!,"Thank you Flipkart, for the support on replacing my Nokia tv. The new piece doesn’t have the back light bleeding.Very soft and warm picture quality with soothing sound.READ MORE"
Terrific purchase,"This might seem to be awkward, but this is the first LED TV at our home. Before this we had Flat TV. Naturally it's really amazing for us, specially for my family(and also surprisingly big in size😜😜). As a conventional family we have an emotional attachment with the Brand #NOKIA. Infact my Papa, Mom & our Family phones, all are #NOKIA till date. Even I'm using Nokia N8 as my Secondary device.So launch of NOKIA TV was really a craze for us. Though as a novice in TV world, there was little c...READ MORE"
Worth every penny,"Its been a month since the tv was delivered and installation was complete. Below is the review after 1 month of purchasing and installation:1) Delivery was fast and reliable . Product was not damaged and delivered carefully so kudos to flipkart for quick , easy , timely and safe delivery.2) The installation done by Jeeves was good , handled with care. 3) The tv as of now(in 1 month of use) is beyond my expectations. I purchased this tv because , I dint wanted to go for sony for same confi...READ MORE"
Perfect product!,well so satisfied to buy such a awesome product great picture quality and sound hats off to jbl superb clarity and blass is also so deep no complaint with the product and special thanx to flipcart for on time delivary and service by jeevas is also great .overall so happy with the product please go with the tv its simply great .READ MORE
Excellent,brilliant product my decision is right choice of Nokia led TV buy picture and sound quality is superb very nice products thanks flipkart same day delivery and same day installationREAD MORE
Just wow!,Beautiful tv with good image quality and much better sound quality than other products in this range. Installation services was smooth and so is this the navigation through our favorite channels :) Highly recommended for anyone going for a 55 inch tvREAD MORE
Wonderful,after using of 2 month this tv is work well no isue found. picture sound conectivity everything good fully satisfied 😊READ MORE
Just wow!,Value for money product from the reputed brand of Nokia. Sound is very good and clear. Picture quality is good quality too. Delivery by flipkart was done on the next day and installation was carried out by Jeeves the same day. Excellent service.READ MORE
Fabulous!,Awesome TV with super display and amazing sound quality. Nokia has provided all the best possible latest features with a budget pricing. Netflix and Amazonprimevideo also working very good. A must buy TVREAD MORE
WORTH FOR MONEY SPENT,"This review is after 10 days usage of NOKIA 55"" SMART TV, For this price range nokia has given the best in class product with partnership with JBL and FLIPKART,  i was amazed with the performance of the product. the display quality is mind blowing for this price, 4K video plays without any lags, the 2.25GB ram provide the quick response and bluetooth enable remote looks fabulous,  out of 16GB storage user will get 12GB of storage usage which is quite enough for new apps to get installed, the ...READ MORE"
Awesome,"Excellent TV,  great sound, Google assistant works well, attractive deal, perfect installation by Sagar Nikam...READ MORE"
Good quality product,"I was in confusion whether to go for LG or Nokia, after seeing positive reviews on Nokia Ordered on 13th Jan received on 14th installed by jivi technician on 16th. Here there are some pros & cons.Pros:1. Excellent picture quality considering price point of view.2.JBL Speakers sounding good.3. Latest android Cons:1. 3.5mm audio output option is missing2. HDMI 1 and USB2.0 ports are placed very close, difficult for insertion and removal of pen drive3. Fitment of JBL speaker & panel is p...READ MORE"
Mind-blowing purchase,super tv buy it now I am waiting from so many day to buy it by looking it's good and bad review but finally order it and it's my good decision to buy it you are looking my review like I was looking other reviews don't worry guys buy it delivery is soon as on schedule and installation is to niceREAD MORE
Must buy!,"Writing this review after one week of use , delivery and installation was pretty fast and good, installation was done on the very next day after delivery, so far he experience is very good, This TV is a beast in this price range, powered by JBL the sound is one of main feature, picture quality is very good and in this price range you cannot ask for more, good product from Flipkart and Nokia.READ MORE"
Good quality product,Honest review is that TV is good and a good purchase at genuine price.Few thing I don't like are: a)Black out of screen while using volume buttonb) Chromecast is not great and there are connection issues of wifi.c) Video hangs a for millisecond while increasing volume(bug that needs to be fixed)d)  Please ensure the movable wall mount offered by the installation guy ( on price of 1600) is fixed properly on the wall.In my case the screw could not hold the TV weight for couple of days and ...READ MORE
Delightful,Pros:1. Sound quality and picture quality is great2. Great Value for Money3. Voice control is present in the remoteCons:There is no option of screen mirroring but chrome cast worksI see slight Back light bleeding in one small corner. Not sure if its a major issue.No option to choose brightness settingsOverall pros weigh higher and the best value TVREAD MORE
Worth every penny,"liked it very much. I wanted some good trustable brand and don't wanted to spend more money on tv. Got very good brand with good quality (4k, JBL Speaker and other latest technology). Thanks to Flipkart for delivering in expected time and installation  soon.READ MORE"
Overall its a good quality product...!!!,"After using around 1 month I am writing this comments:Few PROs points:1.Delivery: The items had delivery in the next day from the order date. Product was not damaged and delivered carefully so Thanks to the Flipkart delivery persons for quick, easy, timely and safe delivery.2. Installation: The installation also done by Jeeves in the same evening of the delivery date. It was good, handled with care. But I felt like, they were little hurry to finish the installation.3. Reason to buy this T...READ MORE"
Perfect product!,"Wonderful experience. The picture and sound quality is as good as other expensive tv brands, infact the audio is better than samsung .Value for money. Highly recommended !READ MORE"
Brilliant,"I can say that ,it was my best decision to buy Nokia TV, Amazing sound and picture quality, if any one is planning to buy  smart 55"" TV please go with Nokia , I am fully satisfied with TV ,I have waited for 10 days to make my review.READ MORE"
Nice product,"We are writing review after 2 Months Usage.Category wise rating as follows,Picture: Ratting 5/5 => It gives good picture quality, We enjoyed with that.Sounds:Rating 5/5 => Once again provided JBL good product. Sound effect was awesome.Price:Rating 5/5 => We was long time waiting for buy LED TV. Finally Nokia satisfied me with Price. One thing is no offers provided while buying a product.Connectivity:Rating 3/5 => we unsatisfied with Chromecast connection. With the help on broadb...READ MORE"
Worth every penny,I buy TV 2 weeks ago its really nice and awesomeTotally good price and service was good jeeves give great response too me unboxing the TV.... Totally am loveit everything ❤️❤️READ MORE
Classy product,"Best TV among all the 4k TVs available.... the special highlights are the built in JBL speakers which give a real audio experience...it has dolbi vision, DTS TruSurround, dolbi audio, intelligence dimming and a lot more amazing features.... truly loved it!READ MORE"
Terrific,"This is a perfect tv for your home. Superb picture quality, real 4K!! Loved the sound of the JBL speaker attached to the tv. It’s exact like soundbar. You don’t have to spend extra for it.Will review again after a month.READ MORE"
Must buy!,"i choose Right product, picture awesome,sound quality Exalent ,super Design,and super build quality, T.v like a mini theater,i love this product ,some bugs in t.v fix next update...... over all Exalent t.v ....READ MORE"
Simply awesome,Awesome product from Nokia. I love the sound and picture quality. Tried playing Dolby Atmos sound which was just awesome. Happy with this purchase.This is TV is not less than any other premium TV.READ MORE
Very Good,"Product is best in class in all aspects specially sound and picture quality and diplay also of great quality, I find it as just buy and forget to bother about upgrading to any latest tv for next five years at least.One should be very much ready to say yes or no for warranty the installation company offers you its almost 10% of item's value to extend for next two years after one year of the warranty comes from manufacturer.Thanks to HMD (NOKIA) and Flipkart.READ MORE"
Classy product,"Spectacular Stunning Nokia TVI believe and I'm using personally this product is best one. 55' inch wide screen TV. Display, Sound and Operations are really smooth and fantastic. If you're looking for a dream TV, I recommended you to Buy this Nokia 55 inch TV. Great Collaboration between Nokia, JBL and Flipkart.READ MORE"
Terrific,ITS A VERY GOOD  LED TV. AND VALUE FOR MONEY. CRYSTAL CLARITY PICTURE. ESPECIALLY 4K VIDEOS ARE AWESOME FOR WATCH.  BUT SOME  ANDROID APPS ARE NOT AVAILABLE IN PLAY STORE. THIRD PARTY APPS CAN'T INSTALL. OTHERWISE NOKIA AWESOME. THANKS TO FLIPKARTREAD MORE
Terrific,"awesome pictures quality, sound like a movie theatre so clear, in this price range great product.at the night in dark room, it change like a movie theatre because Dolby sound support system is awesome.READ MORE"
Simply awesome,Things I like most:1. Looks so premium and cool2. It shows the beautiful 4k wallpapers when it goes to sleep. One of the best n unique feature and trust me you'll be amazed by this...it beautifies your living room. 3. Picture quality is great and has good viewing angle. 4. Sound quality is very good. 5. Affordable and worth every penny you pay. 6. Screen mirroring is working without any delays for both mobile and laptop. Cons (not really):1. When you you change volume button while Yo...READ MORE
Classy product,"Great tv with superior audio(jbl has done an outstanding job) and good video quality. Comes with all the necessary accessories including a wall mount kit.Could have improved on the UI side like the picture configuration like brightness , saturation etc cannot be changed while viewing a content but hope will be addressed during next update. It is definitely a bang for the buck.READ MORE"
Very Good,"First of all thank you very much flipkart for your excellent service. Within 24hours delivery and the installation was done.  The build quality of the TV is good not of metal where other reviewers are saying, only stand is made of metal but solidly made as it is not so thin. After upgrading form lcd full hd to 4k led I was stunned with the picture quality. Full HD channels are good but not excellent. Only 4k content looks excellent. One thing I have test the intelligent diming it is working O...READ MORE"
Wonderful,What this TV end of ember 2019 stop it’s been over six months that I’ve been using it. The picture quality and the sound system is top notch . If you have Netflix which has Dolby Vision movies you will see the difference in the amazing picture quality of this product. JBL sound bar does justice to the picture quality and listening to surround sound in movies amazing. Few challenges that you will find is with picture default options when compared to LG tv. Android works smoothly without any la...READ MORE
Worth every penny,This  nokia TV best.... bright colours..  good picture quality.. nice sound A-ONE connectivity its good  working.. pessa vasoolREAD MORE
Simply awesome,Very good price & picture quality  best Dolby surround best to bestREAD MORE
Perfect product!,"TV is amazing at the price point, it so clear that a movie feels like a behind the scenes or making video, still getting use to the 4k and am surprised with the sound quality it's simply awesome. viewing angles are superb, I was actually waiting for Motorola TV 55'' but read about this TV and decided on this one and it was the right decision it seems.READ MORE"
Terrific,"Best TV in the price range.. Tough competator to the commom brands like Samsung, LG, Sony.. Display is Vibrant, No need to buy a home theatre as sound by JBL provides the best experience.. Kudos to Nokia TV.. Should hv been available in more than 1 size..READ MORE"
Value-for-money,"It's a really good tv at the price point. The picture quality is brilliant and at par with the Sony's and LG's. The sound by JBL is crisp and clear, however, the sound quality is not that great at louder volumes (which is honestly true for almost any tv speaker).READ MORE"
Really Nice,Display quality is good. But there is some edge light leaking. Sound is really good. It fills the whole room.Connectivity options is very bad. Streaming uncompressed 4k Dolby vision content over 2.4Ghz wifi won't work. Streaming over network will give you stutter here and there.Software experience was good initially due to android. But only after installing the update and using prime video the whole UI has become stuttering. While watching 4k content on prime video or Netflix or even Yo...READ MORE
Highly recommended,"Writing this review after a month of usage. I really really love the TV and it is the best decision i have made.PROS - Excellent display quality, 4K Videos run without any lag, Internet connectivity is fine so far, SUPERB Sound Clarity(Thanks to JBL), Installation was flawless and the guy who delivered was super friendly. It comes with 1 USB 3.0 Port. CONS - TV HAS to be updated with latest version of Andriod else you will miss out apps and bug fixes. Even after updating, I am facing rest...READ MORE"
Worth the money,This is a beast for the price. Better than expected. I never experienced this sound in any TV so far. Visual quality is same as other UHD TVs on this price range and infact color is slightly better than others. Hope they provide Android TV future updates. Overall very good decision and satisfied with the TV.Nokia is back.READ MORE
